borrower_id,checkpoint_frac,avg_balance_inr,cheque_bounce_rate,gst_ontime_filing_ratio,trend_indicator
MSME-00001,0.25,946593.657103064,0.02158273381294964,0.3333333333333333,18.205061082024432
MSME-00002,0.25,5732484.890753342,0.005399568034557235,0.8888888888888888,67.47076788830715
MSME-00003,0.25,1681197.085526316,0.042071197411003236,0.5555555555555556,20.92888307155323
MSME-00004,0.25,196229.22235849054,0.02127659574468085,0.7777777777777778,24.43760907504363
MSME-00005,0.25,5295826.4595671,0.0033519553072625698,1.0,78.06588132635254
MSME-00006,0.25,6235806.137194821,0.005656108597285068,1.0,76.64921465968587
MSME-00007,0.25,2332447.5865334496,0.007575757575757576,0.7777777777777778,44.104275741710296
MSME-00008,0.25,4536724.608926621,0.001091703056768559,0.8888888888888888,73.38743455497382
MSME-00009,0.25,3763035.381373626,0.020967741935483872,0.6666666666666666,39.10994764397906
MSME-00010,0.25,498736.5249615385,0.05442176870748299,0.3333333333333333,8.455061082024434
MSME-00011,0.25,5964846.65918455,0.0032679738562091504,1.0,81.27421465968587
MSME-00012,0.25,5400090.465795247,0.003278688524590164,1.0,78.9825479930192
MSME-00013,0.25,1142474.4588765432,0.045454545454545456,0.5555555555555556,18.92888307155323
MSME-00014,0.25,4509364.280852221,0.021630615640599003,0.5555555555555556,38.67888307155323
MSME-00015,0.25,47448016.73714285,0.0,1.0,93.64921465968587
MSME-00016,0.25,3332944.1170666665,0.04090909090909091,0.5555555555555556,29.095549738219898
MSME-00017,0.25,981925.24462867,0.05787781350482315,0.4444444444444444,13.041448516579408
MSME-00018,0.25,3655075.7981465138,0.017488076311605722,0.6666666666666666,40.19328097731239
MSME-00019,0.25,2874702.673838912,0.0148975791433892,0.8888888888888888,46.88743455497382
MSME-00020,0.25,809635.9237343358,0.004524886877828055,1.0,56.39921465968587
MSME-00021,0.25,5674889.504046345,0.0032085561497326204,1.0,81.02421465968587
MSME-00022,0.25,404570.7864139942,0.005235602094240838,,36.5
MSME-00023,0.25,4744105.240598007,0.0024154589371980675,0.8888888888888888,70.88743455497382
MSME-00024,0.25,3076583.6118669133,0.015025041736227046,0.7777777777777778,42.604275741710296
MSME-00025,0.25,2284760.9416726404,0.03505154639175258,0.3333333333333333,20.288394415357768
MSME-00026,0.25,239462.51274576277,0.0,1.0,62.39921465968587
MSME-00027,0.25,3793544.750193322,0.011164274322169059,0.8888888888888888,54.63743455497382
MSME-00028,0.25,3862350.376218236,0.0026917900403768506,1.0,75.56588132635254
MSME-00029,0.25,88667.99533783786,0.024096385542168676,0.7777777777777778,23.06260907504363
MSME-00030,0.25,3970235.2768731117,0.008207934336525308,0.8888888888888888,57.13743455497382
MSME-00031,0.25,696341.4932596686,0.012738853503184714,0.7777777777777778,33.93760907504363
MSME-00032,0.25,1851939.790075075,0.024657534246575342,0.5555555555555556,25.262216404886562
MSME-00033,0.25,1854869.611319846,0.0016474464579901153,1.0,68.56588132635254
MSME-00034,0.25,2037421.8834666666,0.014767932489451477,0.5555555555555556,31.512216404886562
MSME-00035,0.25,2436039.8059700094,0.012779552715654952,0.6666666666666666,37.60994764397906
MSME-00036,0.25,96814.11042553194,0.014084507042253521,0.8888888888888888,33.88743455497382
MSME-00037,0.25,504527.85044843046,0.01606425702811245,0.4444444444444444,20.458115183246075
MSME-00038,0.25,388454.6657322175,0.06349206349206349,0.5555555555555556,11.512216404886564
MSME-00039,0.25,7069526.414036409,0.003592814371257485,0.8888888888888888,73.72076788830715
MSME-00040,0.25,3314878.331689989,0.013725490196078431,0.4444444444444444,35.37478184991274
MSME-00041,0.25,4877021.50198928,0.004162330905306972,1.0,75.89921465968587
MSME-00042,0.25,2055596.8074154588,0.008771929824561403,0.7777777777777778,41.93760907504363
MSME-00043,0.25,220087.90648221344,0.021739130434782608,0.3333333333333333,12.6217277486911
MSME-00044,0.25,36940516.12819536,0.0027397260273972603,1.0,87.64921465968587
MSME-00045,0.25,1927878.6186369117,0.002336448598130841,0.8888888888888888,57.63743455497382
MSME-00046,0.25,601753.6520789474,0.06481481481481481,0.3333333333333333,8.6217277486911
MSME-00047,0.25,879702.3230706075,0.002967359050445104,0.8888888888888888,53.05410122164049
MSME-00048,0.25,4835915.115544816,0.01779935275080906,0.6666666666666666,45.276614310645726
MSME-00049,0.25,5525533.440945945,0.0022346368715083797,0.8888888888888888,74.5541012216405
MSME-00050,0.25,468853.34228855727,0.02727272727272727,0.5,17.102312390924954
MSME-00051,0.25,6447036.979640868,0.0022396416573348264,0.8888888888888888,77.0541012216405
MSME-00052,0.25,250937.80867549672,0.0038910505836575876,1.0,53.9825479930192
