borrower_id,source,consent_id,consent_status,consent_timestamp,purpose
MSME-00001,gst_returns,05261d45-e0bb-40f3-944a-40124ad7c654,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00001,bank_upi_transactions,05261d45-e0bb-40f3-944a-40124ad7c654,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00001,epfo_contributions,05261d45-e0bb-40f3-944a-40124ad7c654,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00002,gst_returns,ff5a9e35-2701-4b01-b730-d5ee0f5848be,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00002,bank_upi_transactions,ff5a9e35-2701-4b01-b730-d5ee0f5848be,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00002,epfo_contributions,ff5a9e35-2701-4b01-b730-d5ee0f5848be,not_applicable,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00003,gst_returns,5655567d-7dd9-464e-92da-ac7270df5ff6,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00003,bank_upi_transactions,5655567d-7dd9-464e-92da-ac7270df5ff6,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00003,epfo_contributions,5655567d-7dd9-464e-92da-ac7270df5ff6,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00004,gst_returns,4b2abfdc-773a-4e0a-b9a5-28be090aad4a,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00004,bank_upi_transactions,4b2abfdc-773a-4e0a-b9a5-28be090aad4a,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00004,epfo_contributions,4b2abfdc-773a-4e0a-b9a5-28be090aad4a,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00005,gst_returns,2c7e7bfc-7fde-40a9-8cd1-5752fb78e567,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00005,bank_upi_transactions,2c7e7bfc-7fde-40a9-8cd1-5752fb78e567,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00005,epfo_contributions,2c7e7bfc-7fde-40a9-8cd1-5752fb78e567,not_applicable,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
MSME-00006,gst_returns,7ccbe70d-30bb-453a-80c0-e0dc969bf4c2,granted,2026-07-06T16:29:18.444693+00:00,msme_financial_health_score
